"trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","Inc_Ms"
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,13,2011-03-23,NA,NA,NA,NA,NA,NA,1,NA,2011-05-11,1.66666666666667,"1-9",0.577350269189626,"stdev",0.8621,NA,0.05400643395,0.117303859591234,"stdev",NA,NA,NA,NA,NA,15.1666666666667,14.1450815951458,21,18.5202591774521,17810.8472222222
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,16,2011-03-23,2011-04-13,NA,NA,NA,NA,NA,2,NA,2011-05-11,1.66666666666667,"1-9",0.577350269189626,"stdev",0.8658,NA,0.05400643395,0.191049832308223,"stdev",NA,NA,NA,NA,NA,30.6666666666667,26.5581123827228,32.6666666666667,28.2901631902917,17810.8472222222
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,19,2011-03-09,2011-03-30,2011-04-12,NA,NA,NA,NA,3,NA,2011-05-11,1,"1-9",0,"stdev",0.900395,NA,0.05400643395,0.122504647666935,"stdev",NA,NA,NA,NA,NA,0,0,0,0,17810.8472222222
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"control","control",0,11,NA,NA,NA,NA,NA,NA,NA,0,NA,2011-05-11,8,"1-9",0,"stdev",0.79846,NA,0.05400643395,0.151042955148527,"stdev",NA,NA,NA,NA,NA,211,10.5,254.333333333333,10.6926766215636,17810.8472222222
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Kendon","sulphur",3000,12,2011-03-23,NA,NA,NA,NA,NA,NA,1,NA,2011-05-11,5.66666666666667,"1-9",0.577350269189626,"stdev",0.79624,NA,0.05400643395,0.209443450542145,"stdev",NA,NA,NA,NA,NA,103.166666666667,4.04145188432738,135.333333333333,8.08290376865476,17810.8472222222
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Kendon","sulphur",3000,15,2011-03-23,2011-04-13,NA,NA,NA,NA,NA,2,NA,2011-05-11,3.33333333333333,"1-9",0.577350269189626,"stdev",0.868945,NA,0.05400643395,0.110523527359563,"stdev",NA,NA,NA,NA,NA,49.3333333333333,12.8970280814354,63,14,17810.8472222222
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Kendon","sulphur",3000,18,2011-03-09,2011-03-30,2011-04-12,NA,NA,NA,NA,3,NA,2011-05-11,3.33333333333333,"1-9",0.577350269189626,"stdev",0.88356,NA,0.05400643395,0.133374479474148,"stdev",NA,NA,NA,NA,NA,33.8333333333333,16.1658075373095,53.6666666666667,20.2072594216369,17810.8472222222
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Folicur","tebuconazole",62.35,14,2011-03-23,NA,NA,NA,NA,NA,NA,1,NA,2011-05-11,5.33333333333333,"1-9",1.15470053837925,"stdev",1.05857,NA,0.05400643395,0.0824438131396165,"stdev",NA,NA,NA,NA,NA,96.3333333333333,10.7509689485801,123.666666666667,14.5716619962629,17810.8472222222
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Folicur","tebuconazole",62.35,17,2011-03-23,2011-04-13,NA,NA,NA,NA,NA,2,NA,2011-05-11,3.33333333333333,"1-9",0.577350269189626,"stdev",0.986235,NA,0.05400643395,0.146495821868748,"stdev",NA,NA,NA,NA,NA,55.3333333333333,4.04145188432738,67.6666666666667,8.08290376865476,17810.8472222222
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Folicur","tebuconazole",62.35,20,2011-03-09,2011-03-30,2011-04-12,NA,NA,NA,NA,3,NA,2011-05-11,3.66666666666667,"1-9",0.577350269189626,"stdev",0.86358,NA,0.05400643395,0.0903679080204915,"stdev",NA,NA,NA,NA,NA,18.6666666666667,4.04145188432738,37.3333333333333,8.08290376865476,17810.8472222222
