"trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","Inc_Ms"
"AM1303","2013","Premer","Crystal","RCB",12,4,NA,NA,3,2013-12-28,NA,2013-02-28,NA,NA,2013-02-28,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2013-04-18,2013-03-31,8,"1-9",0,"stdev",1.42156862745098,NA,0.00981471246813906,0.0712238389467428,"stdev",NA,NA,NA,NA,NA,24.5,0,49,0,417.180555555555
"AM1303","2013","Premer","Crystal","RCB",12,4,NA,NA,3,2013-12-28,NA,2013-02-28,NA,NA,2013-02-28,"Cabrio","pyraclostrobin",125,10,2013-02-28,2013-03-19,NA,NA,NA,NA,NA,2,2013-04-18,2013-03-31,4.83333333333333,"1-9",2.84312035153866,"stdev",1.53186274509804,NA,0.00981471246813906,0.0636783385135616,"stdev",NA,NA,NA,NA,NA,13.4166666666667,9.95092123038532,26.8333333333333,19.9018424607706,417.180555555555
"AM1303","2013","Premer","Crystal","RCB",12,4,NA,NA,3,2013-12-28,NA,2013-02-28,NA,NA,2013-02-28,"Tilt","propiconazole",62.5,11,2013-02-28,2013-03-19,2013-03-31,NA,NA,NA,NA,3,2013-04-18,2013-03-31,2,"1-9",0.866025403784439,"stdev",1.33374183006536,NA,0.00981471246813906,0.148118797053234,"stdev",NA,NA,NA,NA,NA,3.5,3.03108891324554,7,6.06217782649107,417.180555555555
"AM1303","2013","Premer","Crystal","RCB",12,4,NA,NA,3,2013-12-28,NA,2013-02-28,NA,NA,2013-02-28,"Spin-flo","carbendazim",250,2,2013-02-28,NA,NA,NA,NA,NA,NA,1,2013-04-18,2013-03-31,5.66666666666667,"1-9",4.04145188432738,"stdev",1.48624727668845,NA,0.00981471246813906,0.124446324216067,"stdev",NA,NA,NA,NA,NA,16.3333333333333,14.1450815951458,32.6666666666667,28.2901631902917,417.180555555555
"AM1303","2013","Premer","Crystal","RCB",12,4,NA,NA,3,2013-12-28,NA,2013-02-28,NA,NA,2013-02-28,"Tilt","propiconazole",62.5,3,2013-02-28,NA,NA,NA,NA,NA,NA,1,2013-04-18,2013-03-31,7.83333333333333,"1-9",0.288675134594813,"stdev",1.45016339869281,NA,0.00981471246813906,0.234058290045373,"stdev",NA,NA,NA,NA,NA,23.9166666666667,1.01036297108185,47.8333333333333,2.02072594216369,417.180555555555
"AM1303","2013","Premer","Crystal","RCB",12,4,NA,NA,3,2013-12-28,NA,2013-02-28,NA,NA,2013-02-28,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",40,4,2013-02-28,NA,NA,NA,NA,NA,NA,1,2013-04-18,2013-03-31,7.5,"1-9",0,"stdev",1.56386165577342,NA,0.00981471246813906,0.156090836601434,"stdev",NA,NA,NA,NA,NA,22.75,0,45.5,0,417.180555555555
"AM1303","2013","Premer","Crystal","RCB",12,4,NA,NA,3,2013-12-28,NA,2013-02-28,NA,NA,2013-02-28,"Amistar Xtra + adj","200 g/L azoxystrobin + 80 g/L cyproconazole",40,5,2013-02-28,NA,NA,NA,NA,NA,NA,1,2013-04-18,2013-03-31,6.33333333333333,"1-9",2.02072594216369,"stdev",1.42837690631808,NA,0.00981471246813906,0.260168914357917,"stdev",NA,NA,NA,NA,NA,18.6666666666667,7.07254079757292,37.3333333333333,14.1450815951458,417.180555555555
"AM1303","2013","Premer","Crystal","RCB",12,4,NA,NA,3,2013-12-28,NA,2013-02-28,NA,NA,2013-02-28,"Cabrio","pyraclostrobin",125,6,2013-02-28,NA,NA,NA,NA,NA,NA,1,2013-04-18,2013-03-31,8,"1-9",0,"stdev",1.35552832244009,NA,0.00981471246813906,0.0163823657618682,"stdev",NA,NA,NA,NA,NA,24.5,0,49,0,417.180555555555
"AM1303","2013","Premer","Crystal","RCB",12,4,NA,NA,3,2013-12-28,NA,2013-02-28,NA,NA,2013-02-28,"Spin-flo","carbendazim",250,7,2013-02-28,2013-03-19,NA,NA,NA,NA,NA,2,2013-04-18,2013-03-31,5.33333333333333,"1-9",2.3094010767585,"stdev",1.47807734204793,NA,0.00981471246813906,0.0988936194720864,"stdev",NA,NA,NA,NA,NA,15.1666666666667,8.08290376865476,30.3333333333333,16.1658075373095,417.180555555555
"AM1303","2013","Premer","Crystal","RCB",12,4,NA,NA,3,2013-12-28,NA,2013-02-28,NA,NA,2013-02-28,"Tilt","propiconazole",62.5,8,2013-02-28,2013-03-19,NA,NA,NA,NA,NA,2,2013-04-18,2013-03-31,2.16666666666667,"1-9",0.288675134594813,"stdev",1.34463507625272,NA,0.00981471246813906,0.228907052586219,"stdev",NA,NA,NA,NA,NA,4.08333333333333,1.01036297108185,8.16666666666667,2.02072594216369,417.180555555555
