"Treat","Rep","Run","Plot","Inc_18D","Inc_19D"
"1","1",6,6,4,2.5
"1","2",21,21,1,2.5
"1","3",14,44,2.5,2.5
"1","4",28,58,4,4.5
"10","1",3,3,1,2.5
"10","2",30,30,1,4
"10","3",12,42,1,1
"10","4",18,48,1,2.5
"11","1",8,8,1,1
"11","2",20,20,1,2.5
"11","3",13,43,1,1
"11","4",25,55,1,1
"2","1",7,7,1,2.5
"2","2",29,29,5,8
"2","3",1,31,2,4.5
"2","4",22,52,1,4.5
"3","1",11,11,1,2.5
"3","2",27,27,2,4.5
"3","3",3,33,2,2.5
"4","1",2,2,1,2
"4","2",24,24,1,2.5
"4","3",11,41,2.5,2.5
"4","4",26,56,1,2.5
"5","1",5,5,4,1
"5","2",28,28,2.5,2.5
"5","3",15,45,1,1
"5","4",23,53,1,1
"6","1",10,10,1,2.5
"6","2",26,26,2.5,7.5
"6","3",4,34,1,4.5
"6","4",19,49,2,6.5
"7","1",9,9,1,2
"7","2",25,25,1,4
"7","3",2,32,1,2.5
"7","4",17,47,1,1
"8","1",13,13,1,2.5
"8","2",22,22,1,1
"8","3",9,39,1,1
"8","4",27,57,1,1
"9","1",12,12,1,1
"9","2",23,23,1,1
"9","3",16,46,1,1
"sp","-",10,40,1,1
"sp","-",16,16,1,1
"sp","-",17,17,1,1
"sp","-",18,18,1,1
"sp","-",19,19,1,1
"sp","1",1,1,1,1
"x","-",5,35,1,1
"x","-",6,36,1,1
"x","-",7,37,1,1
"x","-",8,38,1,1
"x","-",14,14,1,1
"x","-",15,15,1,1
"x","-",20,50,1,1
"x","-",21,51,1,1
"x","-",24,54,1,1
"x","1",4,4,1,1
