"trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","Inc_Ms"
"AM1304","2013","Marys Mount","Crystal","RCB",12,4,NA,1,4,2012-12-24,NA,NA,2013-02-28,NA,2013-03-16,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2013-04-11,2013-03-26,3,"1-9",1,"stdev",1.09375,NA,0.019650324836153,0.0894030110050653,"stdev",NA,NA,NA,NA,NA,47.125,27.7139405354056,73.625,40.5840177902583,1811.83680555555
"AM1304","2013","Marys Mount","Crystal","RCB",12,4,NA,1,4,2012-12-24,NA,NA,2013-02-28,NA,2013-03-16,"Spin-flo","carbendazim",250,2,2013-02-28,NA,NA,NA,NA,NA,NA,1,2013-04-11,2013-03-26,4.875,"1-9",2.28673712233537,"stdev",1.33680555555556,NA,0.019650324836153,0.0831938991236413,"stdev",NA,NA,NA,NA,NA,55.5625,49.2956112820063,97.375,78.098628882544,1811.83680555555
"AM1304","2013","Marys Mount","Crystal","RCB",12,4,NA,1,3,2012-12-24,NA,NA,2013-02-28,NA,2013-03-16,"Tilt","propiconazole",62.5,3,2013-02-28,NA,NA,NA,NA,NA,NA,1,2013-04-11,2013-03-26,3.16666666666667,"1-9",1.15470053837925,"stdev",1.26543209876543,NA,0.019650324836153,0.0963734259012099,"stdev",NA,NA,NA,NA,NA,30.5833333333333,17.0391705588427,53.8333333333333,29.022979401387,1811.83680555555
"AM1304","2013","Marys Mount","Crystal","RCB",12,4,NA,1,4,2012-12-24,NA,NA,2013-02-28,NA,2013-03-16,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",40,4,2013-02-28,NA,NA,NA,NA,NA,NA,1,2013-04-11,2013-03-26,2.375,"1-9",0.25,"stdev",1.16319444444444,NA,0.019650324836153,0.124477359605723,"stdev",NA,NA,NA,NA,NA,18.6875,12.2480865852589,33.25,16.4544826719043,1811.83680555555
"AM1304","2013","Marys Mount","Crystal","RCB",12,4,NA,1,4,2012-12-24,NA,NA,2013-02-28,NA,2013-03-16,"Amistar Xtra + adj","200 g/L azoxystrobin + 80 g/L cyproconazole",40,5,2013-02-28,NA,NA,NA,NA,NA,NA,1,2013-04-11,2013-03-26,1.375,"1-9",0.75,"stdev",1.18055555555556,NA,0.019650324836153,0.108574438884802,"stdev",NA,NA,NA,NA,NA,20.4375,23.8383226129692,28.5,32.9089653438087,1811.83680555555
"AM1304","2013","Marys Mount","Crystal","RCB",12,4,NA,1,4,2012-12-24,NA,NA,2013-02-28,NA,2013-03-16,"Cabrio","pyraclostrobin",125,6,2013-02-28,NA,NA,NA,NA,NA,NA,1,2013-04-11,2013-03-26,5.25,"1-9",2.21735578260835,"stdev",1.26157407407407,NA,0.019650324836153,0.0972956806552354,"stdev",NA,NA,NA,NA,NA,49.75,31.7752524249087,92.625,55.5973245759182,1811.83680555555
"AM1304","2013","Marys Mount","Crystal","RCB",12,4,NA,1,4,2012-12-24,NA,NA,2013-02-28,NA,2013-03-16,"Spin-flo","carbendazim",250,7,2013-02-28,2013-03-18,NA,NA,NA,NA,NA,2,2013-04-11,2013-03-26,2.375,"1-9",1.25,"stdev",1.30208333333333,NA,0.019650324836153,0.121573697967506,"stdev",NA,NA,NA,NA,NA,13.0625,11.875,26.125,23.75,1811.83680555555
"AM1304","2013","Marys Mount","Crystal","RCB",12,4,NA,1,4,2012-12-24,NA,NA,2013-02-28,NA,2013-03-16,"Tilt","propiconazole",62.5,8,2013-02-28,2013-03-18,NA,NA,NA,NA,NA,2,2013-04-11,2013-03-26,1.375,"1-9",0.75,"stdev",1.17476851851852,NA,0.019650324836153,0.0664879935941901,"stdev",NA,NA,NA,NA,NA,3.5625,7.125,7.125,14.25,1811.83680555555
"AM1304","2013","Marys Mount","Crystal","RCB",12,4,NA,1,3,2012-12-24,NA,NA,2013-02-28,NA,2013-03-16,"Amistar Xtra + adj","200 g/L azoxystrobin + 80 g/L cyproconazole",40,9,2013-02-28,2013-03-18,NA,NA,NA,NA,NA,2,2013-04-11,2013-03-26,1,"1-9",0,"stdev",1.28086419753086,NA,0.019650324836153,0.139530411419947,"stdev",NA,NA,NA,NA,NA,0,0,0,0,1811.83680555555
"AM1304","2013","Marys Mount","Crystal","RCB",12,4,NA,1,4,2012-12-24,NA,NA,2013-02-28,NA,2013-03-16,"Cabrio","pyraclostrobin",125,10,2013-02-28,2013-03-18,NA,NA,NA,NA,NA,2,2013-04-11,2013-03-26,2.5,"1-9",1.22474487139159,"stdev",1.10532407407407,NA,0.019650324836153,0.264858382628625,"stdev",NA,NA,NA,NA,NA,14.25,11.6350762782201,28.5,23.2701525564402,1811.83680555555
