"trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","Inc_Ms"
"AM1305","2013","Goolhi","Crystal","RB",12,4,NA,0.33,4,2013-01-23,NA,2013-04-04,2013-04-18,NA,2013-03-25,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",40,"4",2013-03-28,NA,NA,NA,NA,NA,NA,1,2013-06-20,2013-04-30,2.125,"1-9",0.75,"stdev",0.722222222222222,NA,0.010352366255144,0.0226804605813258,"stdev",NA,NA,NA,NA,NA,13.5625,11.7745753638932,23.375,17.5231989088751,21560.3541666667
"AM1305","2013","Goolhi","Crystal","RB",12,4,NA,0.33,4,2013-01-23,NA,2013-04-04,2013-04-18,NA,2013-03-25,"Amistar Xtra + adj","200 g/L azoxystrobin + 80 g/L cyproconazole",40,"5",2013-03-28,NA,NA,NA,NA,NA,NA,1,2013-06-20,2013-04-30,2.625,"1-9",1.43614066163451,"stdev",0.6875,NA,0.010352366255144,0.145888437561007,"stdev",NA,NA,NA,NA,NA,17.8125,19.5707849868113,31.875,32.0867963499007,21560.3541666667
"AM1305","2013","Goolhi","Crystal","RB",12,4,NA,0.33,4,2013-01-23,NA,2013-04-04,2013-04-18,NA,2013-03-25,"Amistar Xtra + adj","200 g/L azoxystrobin + 80 g/L cyproconazole",40,"9",2013-03-28,2013-04-13,NA,NA,NA,NA,NA,2,2013-06-20,2013-04-30,1,"1-9",0,"stdev",0.625,NA,0.010352366255144,0.164335549530545,"stdev",NA,NA,NA,NA,NA,0,0,0,0,21560.3541666667
"AM1305","2013","Goolhi","Crystal","RB",12,4,NA,0.33,4,2013-01-23,NA,2013-04-04,2013-04-18,NA,2013-03-25,"Cabrio","pyraclostrobin",125,"10",2013-03-28,2013-04-13,NA,NA,NA,NA,NA,2,2013-06-20,2013-04-30,4.25,"1-9",3.75277674973257,"stdev",0.673611111111111,NA,0.010352366255144,0.104858811600983,"stdev",NA,NA,NA,NA,NA,27.625,31.8986023727268,55.25,63.7972047454536,21560.3541666667
"AM1305","2013","Goolhi","Crystal","RB",12,4,NA,0.33,4,2013-01-23,NA,2013-04-04,2013-04-18,NA,2013-03-25,"Cabrio","pyraclostrobin",125,"6",2013-03-28,NA,NA,NA,NA,NA,NA,1,2013-06-20,2013-04-30,6.25,"1-9",3.5,"stdev",0.597222222222222,NA,0.010352366255144,0.161174955421567,"stdev",NA,NA,NA,NA,NA,58.625,59.5124286739053,104.125,87.8904384257279,21560.3541666667
"AM1305","2013","Goolhi","Crystal","RB",12,4,NA,0.33,4,2013-01-23,NA,2013-04-04,2013-04-18,NA,2013-03-25,"control","control",0,"1",NA,NA,NA,NA,NA,NA,NA,0,2013-06-20,2013-04-30,7,"1-9",4,"stdev",0.694444444444444,NA,0.010352366255144,0.0962250448649376,"stdev",NA,NA,NA,NA,NA,161,32.8836332137027,218.875,66.7037917462968,21560.3541666667
"AM1305","2013","Goolhi","Crystal","RB",12,4,NA,0.33,4,2013-01-23,NA,2013-04-04,2013-04-18,NA,2013-03-25,"Spin-flo","carbendazim",250,"2",2013-03-28,NA,NA,NA,NA,NA,NA,1,2013-06-20,2013-04-30,6.75,"1-9",3.86221007541882,"stdev",0.6875,NA,0.010352366255144,0.0615932161835652,"stdev",NA,NA,NA,NA,NA,48.875,50.5476260570168,97.75,80.1888396224811,21560.3541666667
"AM1305","2013","Goolhi","Crystal","RB",12,4,NA,0.33,4,2013-01-23,NA,2013-04-04,2013-04-18,NA,2013-03-25,"Spin-flo","carbendazim",250,"7",2013-03-28,2013-04-13,NA,NA,NA,NA,NA,2,2013-06-20,2013-04-30,6,"1-9",3.36650164612069,"stdev",0.541666666666667,NA,0.010352366255144,0.112262552342427,"stdev",NA,NA,NA,NA,NA,42.5,28.6152639920259,85,57.2305279840518,21560.3541666667
"AM1305","2013","Goolhi","Crystal","RB",12,4,NA,0.33,4,2013-01-23,NA,2013-04-04,2013-04-18,NA,2013-03-25,"Tilt","propiconazole",62.5,"11",2013-03-28,2013-04-13,2013-04-27,NA,NA,NA,NA,3,2013-06-20,2013-04-30,1,"1-9",0,"stdev",0.604166666666667,NA,0.010352366255144,0.0764940353789736,"stdev",NA,NA,NA,NA,NA,0,0,0,0,21560.3541666667
"AM1305","2013","Goolhi","Crystal","RB",12,4,NA,0.33,4,2013-01-23,NA,2013-04-04,2013-04-18,NA,2013-03-25,"Tilt","propiconazole",62.5,"3",2013-03-28,NA,NA,NA,NA,NA,NA,1,2013-06-20,2013-04-30,3.75,"1-9",2.78388218141501,"stdev",0.652777777777778,NA,0.010352366255144,0.0531903948753521,"stdev",NA,NA,NA,NA,NA,37.375,18.237438599394,61.625,40.6906520796444,21560.3541666667
"AM1305","2013","Goolhi","Crystal","RB",12,4,NA,0.33,4,2013-01-23,NA,2013-04-04,2013-04-18,NA,2013-03-25,"Tilt","propiconazole",62.5,"8",2013-03-28,2013-04-13,NA,NA,NA,NA,NA,2,2013-06-20,2013-04-30,2.75,"1-9",3.5,"stdev",0.722222222222222,NA,0.010352366255144,0.172729241723867,"stdev",NA,NA,NA,NA,NA,14.875,29.75,29.75,59.5,21560.3541666667
