"trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","Inc_Ms"
"BB1305","2013","Millmerran","Crystal","RCB",12,4,NA,0.333333333333333,4,2013-01-12,NA,NA,2013-03-21,2013-03-28,2013-03-13,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2013-05-06,2013-04-24,8,"1-9",0,"stdev",0.802083333333333,NA,0.00317486063052673,0.0555810807374929,"stdev",NA,NA,NA,NA,NA,153.625,35.9968169889135,213.75,33.3629035507003,14556.5104166667
"BB1305","2013","Millmerran","Crystal","RCB",12,4,NA,0.333333333333333,4,2013-01-12,NA,NA,2013-03-21,2013-03-28,2013-03-13,"Spin-flo","carbendazim",250,2,2013-03-13,NA,NA,NA,NA,NA,NA,1,2013-05-06,2013-04-24,7.875,"1-9",0.25,"stdev",0.772671568627451,NA,0.00317486063052673,0.128068123106782,"stdev",NA,NA,NA,NA,NA,119.125,14.7542366796795,180.5,13.4350288425444,14556.5104166667
"BB1305","2013","Millmerran","Crystal","RCB",12,4,NA,0.333333333333333,4,2013-01-12,NA,NA,2013-03-21,2013-03-28,2013-03-13,"Tilt","propiconazole",62.5,3,2013-03-13,NA,NA,NA,NA,NA,NA,1,2013-05-06,2013-04-24,8,"1-9",0,"stdev",0.802696078431373,NA,0.00317486063052673,0.0665385880416579,"stdev",NA,NA,NA,NA,NA,66.5,0,133,0,14556.5104166667
"BB1305","2013","Millmerran","Crystal","RCB",12,4,NA,0.333333333333333,4,2013-01-12,NA,NA,2013-03-21,2013-03-28,2013-03-13,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",40,4,2013-03-13,NA,NA,NA,NA,NA,NA,1,2013-05-06,2013-04-24,4,"1-9",2.67706306736817,"stdev",0.818627450980392,NA,0.00317486063052673,0.107843137254902,"stdev",NA,NA,NA,NA,NA,38.75,19.9342669792496,66.5,44.5589497183226,14556.5104166667
"BB1305","2013","Millmerran","Crystal","RCB",12,4,NA,0.333333333333333,4,2013-01-12,NA,NA,2013-03-21,2013-03-28,2013-03-13,"Amistar Xtra + adj","200 g/L azoxystrobin + 80 g/L cyproconazole",40,5,2013-03-13,NA,NA,NA,NA,NA,NA,1,2013-05-06,2013-04-24,2.25,"1-9",1.04083299973307,"stdev",0.683210784313726,NA,0.00317486063052673,0.0283986034957266,"stdev",NA,NA,NA,NA,NA,24.6875,11.0987518066973,35.625,14.25,14556.5104166667
"BB1305","2013","Millmerran","Crystal","RCB",12,4,NA,0.333333333333333,4,2013-01-12,NA,NA,2013-03-21,2013-03-28,2013-03-13,"Cabrio","pyraclostrobin",125,6,2013-03-13,NA,NA,NA,NA,NA,NA,1,2013-05-06,2013-04-24,7.75,"1-9",0.5,"stdev",0.816176470588235,NA,0.00317486063052673,0.0606339062590833,"stdev",NA,NA,NA,NA,NA,123.0625,41.2095129591862,182.875,41.3186297772163,14556.5104166667
"BB1305","2013","Millmerran","Crystal","RCB",12,4,NA,0.333333333333333,4,2013-01-12,NA,NA,2013-03-21,2013-03-28,2013-03-13,"Spin-flo","carbendazim",250,7,2013-03-13,2013-03-21,NA,NA,NA,NA,NA,2,2013-05-06,2013-04-24,5.25,"1-9",2.46644143115812,"stdev",0.816789215686275,NA,0.00317486063052673,0.0969996972809063,"stdev",NA,NA,NA,NA,NA,81.375,33.3069687402902,118.75,51.7437596881659,14556.5104166667
"BB1305","2013","Millmerran","Crystal","RCB",12,4,NA,0.333333333333333,4,2013-01-12,NA,NA,2013-03-21,2013-03-28,2013-03-13,"Tilt","propiconazole",62.5,8,2013-03-13,2013-03-21,NA,NA,NA,NA,NA,2,2013-05-06,2013-04-24,5.625,"1-9",2.17466472511665,"stdev",0.771446078431373,NA,0.00317486063052673,0.0854070837452251,"stdev",NA,NA,NA,NA,NA,49.0625,27.8443403884284,92.625,47.4207672509278,14556.5104166667
"BB1305","2013","Millmerran","Crystal","RCB",12,4,NA,0.333333333333333,4,2013-01-12,NA,NA,2013-03-21,2013-03-28,2013-03-13,"Amistar Xtra + adj","200 g/L azoxystrobin + 80 g/L cyproconazole",40,9,2013-03-13,2013-03-21,NA,NA,NA,NA,NA,2,2013-05-06,2013-04-24,1.375,"1-9",0.75,"stdev",0.786151960784314,NA,0.00317486063052673,0.0747549019607843,"stdev",NA,NA,NA,NA,NA,3.5625,7.125,7.125,14.25,14556.5104166667
"BB1305","2013","Millmerran","Crystal","RCB",12,4,NA,0.333333333333333,4,2013-01-12,NA,NA,2013-03-21,2013-03-28,2013-03-13,"Cabrio","pyraclostrobin",125,10,2013-03-13,2013-03-21,NA,NA,NA,NA,NA,2,2013-05-06,2013-04-24,7.5,"1-9",0.707106781186548,"stdev",0.847426470588235,NA,0.00317486063052673,0.0959410908139698,"stdev",NA,NA,NA,NA,NA,82.25,32.8690583984391,142.5,35.5457451743524,14556.5104166667
