"trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","Inc_Ms"
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,545333.333333333,0.25,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-05-11,2017-04-18,9,"1-9",0,"stdev",1.64185917947517,NA,0.725081741379952,0.313992127523054,"stdev",NA,NA,NA,NA,NA,233.666666666667,4.90747728811182,261.333333333333,4.61880215351701,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,456000,0.25,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-05-11,2017-04-18,9,"1-9",0,"stdev",2.08394144307694,NA,0.725081741379952,0.708697163244125,"stdev",NA,NA,NA,NA,NA,239.5,4.35889894354067,266.333333333333,4.93288286231625,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,440000,0.25,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-05-11,2017-04-18,9,"1-9",0,"stdev",1.82489561071677,NA,0.725081741379952,0.292854089420491,"stdev",NA,NA,NA,NA,NA,241.833333333333,4.61880215351701,269.333333333333,4.61880215351701,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,333333.333333333,0.5,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-05-11,2017-04-18,9,"1-9",0,"stdev",1.50457259936667,NA,0.725081741379952,0.166482430358969,"stdev",NA,NA,NA,NA,NA,242.333333333333,11.8988794990677,269,12.7671453348037,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,391333.333333333,0.5,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-05-11,2017-04-18,9,"1-9",0,"stdev",1.482819981829,NA,0.725081741379952,0.0212654288572874,"stdev",NA,NA,NA,NA,NA,239.5,8.66025403784439,266.333333333333,9.81495457622364,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,340000,0.5,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-05-11,2017-04-18,9,"1-9",0,"stdev",1.60854019106295,NA,0.725081741379952,0.0838536220051906,"stdev",NA,NA,NA,NA,NA,241.833333333333,4.61880215351701,269.333333333333,4.61880215351701,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,261666.666666667,1,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-05-11,2017-04-18,9,"1-9",0,"stdev",1.4483717562427,NA,0.725081741379952,0.13893151908155,"stdev",NA,NA,NA,NA,NA,237.333333333333,13.5677313259562,265.333333333333,12.7017059221718,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,211666.666666667,1,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-05-11,2017-04-18,8.66666666666667,"1-9",0.577350269189626,"stdev",1.22652004295404,NA,0.725081741379952,0.159650987753287,"stdev",NA,NA,NA,NA,NA,241,10.5,266.333333333333,12.6622799421484,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,245000,1,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-05-11,2017-04-18,9,"1-9",0,"stdev",1.22788870327402,NA,0.725081741379952,0.147853086959882,"stdev",NA,NA,NA,NA,NA,239.5,8.66025403784439,267.333333333333,8.08290376865476,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,469333.333333333,0.25,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"Custodia","200 g/L tebuconazole + 120 g/L azoxystrobin",60,2,2017-02-22,NA,NA,NA,NA,NA,NA,1,2017-05-11,2017-04-18,8.66666666666667,"1-9",0.577350269189626,"stdev",2.05107860367968,NA,0.725081741379952,0.255352323036502,"stdev",NA,NA,NA,NA,NA,214.166666666667,14.5716619962629,246.666666666667,10.2143689640297,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,441333.333333333,0.25,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"Throttle","propiconazole",125,2,2017-02-22,NA,NA,NA,NA,NA,NA,1,2017-05-11,2017-04-18,8.66666666666667,"1-9",0.577350269189626,"stdev",1.79140591284947,NA,0.725081741379952,0.428709188962451,"stdev",NA,NA,NA,NA,NA,212.166666666667,8.32666399786453,242.333333333333,6.80685928555405,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,461333.333333333,0.25,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"Folicur","tebuconazole",62,2,2017-02-22,NA,NA,NA,NA,NA,NA,1,2017-05-11,2017-04-18,9,"1-9",0,"stdev",1.72428223032494,NA,0.725081741379952,0.320308256926926,"stdev",NA,NA,NA,NA,NA,223.833333333333,19.6044212700435,254,16.3707055437449,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,340000,0.5,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"Custodia","200 g/L tebuconazole + 120 g/L azoxystrobin",60,2,2017-02-22,NA,NA,NA,NA,NA,NA,1,2017-05-11,2017-04-18,8.66666666666667,"1-9",0.577350269189626,"stdev",1.76328355915084,NA,0.725081741379952,0.100318426886259,"stdev",NA,NA,NA,NA,NA,224.833333333333,3.51188458428425,253.333333333333,4.93288286231625,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,352000,0.5,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"Throttle","propiconazole",125,2,2017-02-22,NA,NA,NA,NA,NA,NA,1,2017-05-11,2017-04-18,8.66666666666667,"1-9",0.577350269189626,"stdev",1.73300367195536,NA,0.725081741379952,0.268155161812464,"stdev",NA,NA,NA,NA,NA,230.666666666667,13.7870712384224,257.333333333333,16.6232768530556,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,305333.333333333,0.5,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"Folicur","tebuconazole",62,2,2017-02-22,NA,NA,NA,NA,NA,NA,1,2017-05-11,2017-04-18,9,"1-9",0,"stdev",1.71727960263914,NA,0.725081741379952,0.0246404941213377,"stdev",NA,NA,NA,NA,NA,224.166666666667,16.6533279957291,252.666666666667,11.6761865920913,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,222666.666666667,1,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"Custodia","200 g/L tebuconazole + 120 g/L azoxystrobin",60,2,2017-02-22,NA,NA,NA,NA,NA,NA,1,2017-05-11,2017-04-18,9,"1-9",0,"stdev",1.41991492055416,NA,0.725081741379952,0.194752707499987,"stdev",NA,NA,NA,NA,NA,223.5,12.1243556529821,255.333333333333,10.1159939369957,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,207333.333333333,1,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"Throttle","propiconazole",125,2,2017-02-22,NA,NA,NA,NA,NA,NA,1,2017-05-11,2017-04-18,9,"1-9",0,"stdev",1.13017710935448,NA,0.725081741379952,0.125435121190618,"stdev",NA,NA,NA,NA,NA,229,13.865424623862,259.666666666667,13.4288247189891,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,212666.666666667,1,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"Folicur","tebuconazole",62,2,2017-02-22,NA,NA,NA,NA,NA,NA,1,2017-05-11,2017-04-18,9,"1-9",0,"stdev",1.44352027878832,NA,0.725081741379952,0.176174227363534,"stdev",NA,NA,NA,NA,NA,223.666666666667,10.1036297108185,254,6.92820323027551,12576.4356481482
"mung1617/02","2017","Missen Flats","Jade","RCB",10,2,426666.666666667,0.25,3,2017-01-27,2017-02-01,NA,NA,NA,2017-03-07,"Custodia","200 g/L tebuconazole + 120 g/L azoxystrobin",60,3,2017-03-08,NA,NA,NA,NA,NA,NA,1,2017-05-11,2017-04-18,8.33333333333333,"1-9",0.577350269189626,"stdev",2.04853592804496,NA,0.725081741379952,0.264917750771149,"stdev",NA,NA,NA,NA,NA,188,14.9080515158756,218.333333333333,18.7171935218219,12576.4356481482
