"trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","Inc_Ms"
"mung1617/01","2017","Hermitage","Jade","RCB",30.5333333333333,2,"NaN",0.25,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.404702484768338,NA,0.0186257869010656,0.382449407331228,"stdev",NA,NA,NA,NA,NA,246.5,0.5,273.333333333333,0.577350269189626,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.5,2,"NaN",0.5,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.558857224535057,NA,0.0186257869010656,0.179350929511494,"stdev",NA,NA,NA,NA,NA,222.666666666667,22.024607450153,251.666666666667,21.548395145192,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",28.0666666666667,2,"NaN",1,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.316316762742075,NA,0.0186257869010656,0.251767379334327,"stdev",NA,NA,NA,NA,NA,212,34.2746261832277,240.333333333333,32.654759734736,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",30.7333333333333,2,"NaN",0.25,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.319058945539776,NA,0.0186257869010656,0.249605864053015,"stdev",NA,NA,NA,NA,NA,235.5,16.3477827242718,263.333333333333,16.4418166068514,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.7,2,"NaN",0.5,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.620546220477007,NA,0.0186257869010656,0.0886162448571345,"stdev",NA,NA,NA,NA,NA,226.833333333333,50.5206228517952,255.333333333333,48.8091521472493,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.53333333333333,2,"NaN",1,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.47362642810691,NA,0.0186257869010656,0.113187800926036,"stdev",NA,NA,NA,NA,NA,212.333333333333,30.1675874629267,240.666666666667,29.1604755333882,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.5,2,"NaN",0.25,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.615181312501559,NA,0.0186257869010656,0.0639678276101393,"stdev",NA,NA,NA,NA,NA,235.166666666667,12.6622799421484,262.666666666667,11.060440015358,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.43333333333333,2,"NaN",0.5,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.502022454330147,NA,0.0186257869010656,0.072979277803676,"stdev",NA,NA,NA,NA,NA,222.833333333333,21.096998206696,251,19.6977156035922,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.8,2,"NaN",1,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.47212199306343,NA,0.0186257869010656,0.199629219160525,"stdev",NA,NA,NA,NA,NA,241.5,21.2837966537928,268.666666666667,20.4042479237372,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.46666666666667,2,"NaN",0.25,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Custodia","200 g/L tebuconazole + 120 g/L azoxystrobin",60,2,2017-03-13,NA,NA,NA,NA,NA,NA,1,2017-06-26,2017-05-11,7.66666666666667,"1-9",0.577350269189626,"stdev",0.617619847152244,NA,0.0186257869010656,0.227776514204475,"stdev",NA,NA,NA,NA,NA,130.833333333333,14.6486631927058,158.333333333333,19.55334583475,32673.3814814815
