"trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","Inc_Ms"
"mung1718/01","2018","Wellcamp","Jade","RCB",10.0366666666667,2,"2e+05",0.25,3,2018-02-13,NA,NA,NA,NA,2018-03-21,"Folicur","tebuconazole",60,1,2018-03-28,2018-04-16,NA,NA,NA,NA,NA,2,2018-05-31,2018-05-02,7.66666666666667,"1-9",0.577350269189626,"stdev",1.55594699419791,NA,0.18543793883016,0.192737832405339,"stdev",NA,NA,NA,NA,NA,172.5,26.4244205234476,180,23.6431808350738,1267.60049019608
"mung1718/01","2018","Wellcamp","Jade","RCB",10.04,2,"2e+05",0.25,3,2018-02-13,NA,NA,NA,NA,2018-03-21,"Custodia","200 g/L tebuconazole + 120 g/L azoxystrobin",62,2,2018-03-28,2018-04-16,NA,NA,NA,NA,NA,2,2018-05-31,2018-05-02,6.66666666666667,"1-9",0.577350269189626,"stdev",1.4090574739861,NA,0.18543793883016,0.195246952733176,"stdev",NA,NA,NA,NA,NA,154.666666666667,5.48482755730144,158.666666666667,6.50640709864771,1267.60049019608
"mung1718/01","2018","Wellcamp","Jade","RCB",9.82333333333333,2,"2e+05",0.25,3,2018-02-13,NA,NA,NA,NA,2018-03-21,"Throttle","propiconazole",125,3,2018-03-28,2018-04-16,NA,NA,NA,NA,NA,2,2018-05-31,2018-05-02,6.33333333333333,"1-9",0.577350269189626,"stdev",1.5820208852345,NA,0.18543793883016,0.145458634607611,"stdev",NA,NA,NA,NA,NA,156.333333333333,2.88675134594813,161.333333333333,4.04145188432738,1267.60049019608
"mung1718/01","2018","Wellcamp","Jade","RCB",362.056666666667,2,"2e+05",0.25,3,2018-02-13,NA,NA,NA,NA,2018-03-21,"control","control",0,4,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-31,2018-05-02,8.33333333333333,"1-9",0.577350269189626,"stdev",0.90071296894831,NA,0.18543793883016,0.801920606661494,"stdev",NA,NA,NA,NA,NA,178.833333333333,9.07377172587747,189,10.816653826392,1267.60049019608
"mung1718/01","2018","Wellcamp","Jade","RCB",10.2533333333333,2,"2e+05",0.5,3,2018-02-13,NA,NA,NA,NA,2018-03-21,"Folicur","tebuconazole",60,5,2018-03-28,2018-04-16,NA,NA,NA,NA,NA,2,2018-05-31,2018-05-02,7,"1-9",0,"stdev",1.47252366279728,NA,0.18543793883016,0.102402909635647,"stdev",NA,NA,NA,NA,NA,166.166666666667,11.1840660465384,171.333333333333,10.9696551146029,1267.60049019608
"mung1718/01","2018","Wellcamp","Jade","RCB",10.24,2,"2e+05",0.5,3,2018-02-13,NA,NA,NA,NA,2018-03-21,"Custodia","200 g/L tebuconazole + 120 g/L azoxystrobin",62,6,2018-03-28,2018-04-16,NA,NA,NA,NA,NA,2,2018-05-31,2018-05-02,7,"1-9",0,"stdev",1.50363767879751,NA,0.18543793883016,0.18312085332705,"stdev",NA,NA,NA,NA,NA,154,4.33012701892219,161.666666666667,4.61880215351701,1267.60049019608
"mung1718/01","2018","Wellcamp","Jade","RCB",10.1,2,"2e+05",0.5,3,2018-02-13,NA,NA,NA,NA,2018-03-21,"Throttle","propiconazole",125,7,2018-03-28,2018-04-16,NA,NA,NA,NA,NA,2,2018-05-31,2018-05-02,6,"1-9",0,"stdev",1.56753778008847,NA,0.18543793883016,0.164281316884396,"stdev",NA,NA,NA,NA,NA,147.666666666667,17.8978583448784,149.333333333333,16.7431578064991,1267.60049019608
"mung1718/01","2018","Wellcamp","Jade","RCB",10.28,2,"2e+05",0.5,3,2018-02-13,NA,NA,NA,NA,2018-03-21,"control","control",0,8,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-31,2018-05-02,8,"1-9",0,"stdev",1.08907720696231,NA,0.18543793883016,0.397031633037153,"stdev",NA,NA,NA,NA,NA,200.166666666667,8.51958527942137,205.333333333333,7.02376916856849,1267.60049019608
"mung1718/01","2018","Wellcamp","Jade","RCB",9.67,2,"2e+05",1,3,2018-02-13,NA,NA,NA,NA,2018-03-21,"Folicur","tebuconazole",60,9,2018-03-28,2018-04-16,NA,NA,NA,NA,NA,2,2018-05-31,2018-05-02,7.33333333333333,"1-9",0.577350269189626,"stdev",1.08452290320701,NA,0.18543793883016,0.0985550100469831,"stdev",NA,NA,NA,NA,NA,175.666666666667,23.3041484146779,179.666666666667,22.1208800307161,1267.60049019608
"mung1718/01","2018","Wellcamp","Jade","RCB",9.45666666666667,2,"2e+05",1,3,2018-02-13,NA,NA,NA,NA,2018-03-21,"Custodia","200 g/L tebuconazole + 120 g/L azoxystrobin",62,10,2018-03-28,2018-04-16,NA,NA,NA,NA,NA,2,2018-05-31,2018-05-02,6.66666666666667,"1-9",0.577350269189626,"stdev",1.28222975784654,NA,0.18543793883016,0.385229718856607,"stdev",NA,NA,NA,NA,NA,162.166666666667,4.85626742811116,165.333333333333,6.50640709864771,1267.60049019608
