latitude,longitude,date,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source
-26.6,151.85,2011-01-01,0.0,24,27.4,25,16.8,25
-26.6,151.85,2011-01-02,3.5,24,29.7,25,20.2,25
-26.6,151.85,2011-01-03,0.4,24,30.6,25,18.1,25
-26.6,151.85,2011-01-04,8.5,24,28.3,25,18.2,25
-26.6,151.85,2011-01-05,3.2,24,29.0,25,18.2,25
-26.6,151.85,2011-01-06,18.9,24,23.4,25,17.7,25
-26.6,151.85,2011-01-07,15.0,24,23.6,25,16.2,25
-26.6,151.85,2011-01-08,38.4,24,25.3,25,17.8,25
-26.6,151.85,2011-01-09,32.3,24,23.9,25,18.4,25
-26.6,151.85,2011-01-10,66.9,24,25.8,25,19.2,25
-26.6,151.85,2011-01-11,93.2,24,25.7,25,19.6,25
-26.6,151.85,2011-01-12,0.9,24,27.0,25,20.8,25
-26.6,151.85,2011-01-13,0.6,24,27.3,25,18.6,25
-26.6,151.85,2011-01-14,0.0,24,27.0,25,17.8,25
-26.6,151.85,2011-01-15,0.0,24,27.7,25,16.3,25
-26.6,151.85,2011-01-16,0.0,24,27.8,25,15.5,25
-26.6,151.85,2011-01-17,0.0,24,31.6,25,15.9,25
-26.6,151.85,2011-01-18,0.5,24,33.3,25,19.7,25
-26.6,151.85,2011-01-19,21.2,24,30.4,25,18.9,25
-26.6,151.85,2011-01-20,0.0,24,29.3,25,19.0,25
-26.6,151.85,2011-01-21,1.5,24,25.5,25,17.8,25
-26.6,151.85,2011-01-22,0.2,24,27.1,25,14.9,25
-26.6,151.85,2011-01-23,0.0,24,26.9,25,14.4,25
-26.6,151.85,2011-01-24,0.0,24,28.4,25,13.8,25
-26.6,151.85,2011-01-25,0.0,24,31.6,25,15.2,25
-26.6,151.85,2011-01-26,0.0,24,30.7,25,18.7,25
-26.6,151.85,2011-01-27,0.0,24,30.0,25,16.5,25
-26.6,151.85,2011-01-28,0.0,24,29.8,25,18.6,25
-26.6,151.85,2011-01-29,0.0,24,25.7,25,19.4,25
-26.6,151.85,2011-01-30,0.0,24,27.0,25,17.8,25
-26.6,151.85,2011-01-31,0.0,24,28.3,25,18.8,25
-26.6,151.85,2011-02-01,0.0,24,31.4,25,19.6,25
-26.6,151.85,2011-02-02,0.0,24,33.1,25,21.7,25
-26.6,151.85,2011-02-03,0.8,24,31.3,25,19.6,25
-26.6,151.85,2011-02-04,0.4,24,31.7,25,20.3,25
-26.6,151.85,2011-02-05,0.0,24,29.3,25,19.5,25
-26.6,151.85,2011-02-06,1.8,24,32.0,25,22.2,25
-26.6,151.85,2011-02-07,1.4,24,28.2,25,22.1,25
-26.6,151.85,2011-02-08,0.1,24,23.8,25,19.9,25
-26.6,151.85,2011-02-09,3.0,24,24.9,25,18.8,25
-26.6,151.85,2011-02-10,0.0,24,27.6,25,16.6,25
-26.6,151.85,2011-02-11,0.0,24,28.9,25,15.3,25
-26.6,151.85,2011-02-12,0.0,24,29.8,25,14.1,25
-26.6,151.85,2011-02-13,0.0,24,30.0,25,14.4,25
-26.6,151.85,2011-02-14,0.0,24,27.6,25,17.9,25
-26.6,151.85,2011-02-15,0.3,24,28.5,25,18.7,25
-26.6,151.85,2011-02-16,1.5,24,27.1,25,18.6,25
-26.6,151.85,2011-02-17,1.8,24,28.9,25,18.9,25
-26.6,151.85,2011-02-18,0.1,24,30.1,25,17.1,25
-26.6,151.85,2011-02-19,0.0,24,31.0,25,17.8,25
-26.6,151.85,2011-02-20,0.0,24,34.2,25,19.0,25
-26.6,151.85,2011-02-21,0.0,24,34.0,25,20.8,25
-26.6,151.85,2011-02-22,29.8,24,24.8,25,19.6,25
-26.6,151.85,2011-02-23,0.4,24,24.4,25,14.4,25
-26.6,151.85,2011-02-24,0.5,24,26.1,25,16.2,25
-26.6,151.85,2011-02-25,0.0,24,28.1,25,15.0,25
-26.6,151.85,2011-02-26,0.0,24,29.0,25,13.9,25
-26.6,151.85,2011-02-27,0.0,24,29.6,25,15.5,25
-26.6,151.85,2011-02-28,0.0,24,31.1,25,16.1,25
-26.6,151.85,2011-03-01,0.0,24,32.5,25,17.5,25
-26.6,151.85,2011-03-02,0.0,24,32.9,25,19.4,25
-26.6,151.85,2011-03-03,0.0,24,32.7,25,20.4,25
-26.6,151.85,2011-03-04,0.5,24,26.4,25,21.1,25
-26.6,151.85,2011-03-05,39.2,24,23.4,25,18.9,25
-26.6,151.85,2011-03-06,2.3,24,23.3,25,16.3,25
-26.6,151.85,2011-03-07,0.0,24,24.3,25,14.0,25
-26.6,151.85,2011-03-08,0.0,24,25.0,25,15.0,25
-26.6,151.85,2011-03-09,1.0,24,25.5,25,13.5,25
-26.6,151.85,2011-03-10,0.0,24,27.5,25,13.5,25
-26.6,151.85,2011-03-11,0.0,24,28.0,25,18.1,25
-26.6,151.85,2011-03-12,0.3,24,24.7,25,19.1,25
-26.6,151.85,2011-03-13,0.0,24,28.0,25,17.9,25
-26.6,151.85,2011-03-14,0.5,24,27.6,25,19.0,25
-26.6,151.85,2011-03-15,0.0,24,28.3,25,16.2,25
-26.6,151.85,2011-03-16,0.0,24,29.2,25,15.7,25
-26.6,151.85,2011-03-17,0.0,24,26.8,25,17.7,25
-26.6,151.85,2011-03-18,0.0,24,28.3,25,18.1,25
-26.6,151.85,2011-03-19,15.1,24,22.7,25,18.9,25
-26.6,151.85,2011-03-20,29.7,24,25.1,25,18.4,25
-26.6,151.85,2011-03-21,1.0,24,28.6,25,19.8,25
