"trial","trial_ref","year","host_genotype","location","row_spacing","n","planting_date","first_sign_disease","fungicide_ai","fungicide_application_1","fungicide_application_2","fungicide_application_3","total_fungicide","dose_ai.ha","grain_yield.t.ha","yield_error","yield_gain","prop_yield_gain","PM_final_severity","PM_final_severity_error","Y_Msquare","Inc_Ms","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","dose","fungicide_timing_1","fungicide_timing_2","fungicide_timing_3","cluster_1","cluster_2","cluster_3","spray_management","D_pres"
"mung1011/01_2011_Hermitage_Berken_0.75_lowDose","mung1011/01",2011,"Berken","Hermitage",0.75,6,2011-01-24,2011-03-28,"control",NA,NA,NA,0,0,1.6618554,0.0137647630583489,NA,NA,4.666666667,0.516397779,0.123816670755001,1568,38.5,5.42217668469038,77,10.8443533693808,"lowDose","control","control","control","Late",NA,NA,"control","lowD"
"mung1011/01_2011_Hermitage_Berken_0.75_lowDose","mung1011/01",2011,"Berken","Hermitage",0.75,3,2011-01-24,2011-03-28,"tebuconazole",2011-03-28,NA,NA,1,62.35,1.7693124,0.0377989656994327,0.2445887,0.160415096846727,2,0,0.123816670755001,1568,10.5,0,21,0,"lowDose","0",NA,NA,"Recommended",NA,NA,"Recommended","lowD"
"mung1011/01_2011_Hermitage_Crystal_0.75_lowDose","mung1011/01",2011,"Crystal","Hermitage",0.75,6,2011-01-24,2011-03-28,"control",NA,NA,NA,0,0,1.387592,0.0154915785431289,NA,NA,5,0,0.123816670755001,1568,42,0,84,0,"lowDose","control","control","control","Late",NA,NA,"control","lowD"
"mung1011/01_2011_Hermitage_Crystal_0.75_lowDose","mung1011/01",2011,"Crystal","Hermitage",0.75,3,2011-01-24,2011-03-28,"tebuconazole",2011-03-28,NA,NA,1,62.35,1.543895467,0.0164675679223445,0.019171767,0.0125739286403169,2.333333333,0.577350269,0.123816670755001,1568,14,6.06217782649107,28,12.1243556529821,"lowDose","0",NA,NA,"Recommended",NA,NA,"Recommended","lowD"
"mung1011/02_2011_Kingaroy_Berken_0.75_lowDose","mung1011/02",2011,"Berken","Kingaroy",0.75,6,2011-02-02,2011-03-22,"control",NA,NA,NA,0,0,0.79846,0.022813974255132,NA,NA,8,0,0.05400643395,17810.8472222222,211,10.5,254.333333333333,10.6926766215636,"lowDose","control","control","control","Late",NA,NA,"control","highD"
"mung1011/02_2011_Kingaroy_Crystal_0.75_lowDose","mung1011/02",2011,"Crystal","Kingaroy",0.75,6,2011-02-02,2011-03-22,"control",NA,NA,NA,0,0,0.79846,0.027289885594608,NA,NA,7.666666667,0.577350269,0.05400643395,17810.8472222222,173.166666666667,16.1658075373095,219.333333333333,20.2072594216369,"lowDose","control","control","control","Late",NA,NA,"control","highD"
"mung1011/02_2011_Kingaroy_Berken_0.75_lowDose","mung1011/02",2011,"Berken","Kingaroy",0.75,6,2011-02-02,2011-03-22,"tebuconazole",2011-03-23,NA,NA,1,62.35,1.05857,0.00679698230197897,0.26011,0.325764596848934,5.333333333,1.154700538,0.05400643395,17810.8472222222,96.3333333333333,10.7509689485801,123.666666666667,14.5716619962629,"lowDose","1",NA,NA,"Recommended",NA,NA,"Recommended","highD"
"mung1011/02_2011_Kingaroy_Crystal_0.75_lowDose","mung1011/02",2011,"Crystal","Kingaroy",0.75,6,2011-02-02,2011-03-22,"tebuconazole",2011-03-23,NA,NA,1,62.35,0.730195,0.0349196647471777,-0.0682649999999999,-0.085495829471733,4.333333333,0.577350269,0.05400643395,17810.8472222222,50.3333333333333,9.07377172587747,77,7,"lowDose","1",NA,NA,"Recommended",NA,NA,"Recommended","highD"
"mung1011/02_2011_Kingaroy_Berken_0.75_lowDose","mung1011/02",2011,"Berken","Kingaroy",0.75,6,2011-02-02,2011-03-22,"tebuconazole",2011-03-23,2011-04-13,NA,2,62.35,0.986235,0.0214610258634557,0.187775,0.235171455050973,3.333333333,0.577350269,0.05400643395,17810.8472222222,55.3333333333333,4.04145188432738,67.6666666666667,8.08290376865476,"lowDose","1","21",NA,"Recommended","Late",NA,"Recommended_plus","highD"
"mung1011/02_2011_Kingaroy_Crystal_0.75_lowDose","mung1011/02",2011,"Crystal","Kingaroy",0.75,6,2011-02-02,2011-03-22,"tebuconazole",2011-03-23,2011-04-13,NA,2,62.35,0.87542,0.0813156222025594,0.07696,0.0963855421686747,4,0,0.05400643395,17810.8472222222,45.5,6.06217782649107,67.6666666666667,8.08290376865476,"lowDose","1","21",NA,"Recommended","Late",NA,"Recommended_plus","highD"
"mung1112/01_2012_Gatton_Crystal_0.75_lowDose","mung1112/01",2012,"Crystal","Gatton",0.75,3,2012-02-20,2012-04-02,"control",NA,NA,NA,0,0,0.738,NA,NA,NA,7.5,0.95,NA,NA,169,NA,338,NA,"lowDose","control","control","control","Late",NA,NA,"control","highD"
"mung1112/01_2012_Gatton_Crystal_0.75_lowDose","mung1112/01",2012,"Crystal","Gatton",0.75,3,2012-02-20,2012-04-02,"tebuconazole",2012-04-02,NA,NA,1,62.35,0.81,NA,0.0720000000000001,0.0975609756097562,4.3,0.95,NA,NA,85.8,NA,171.6,NA,"lowDose","0",NA,NA,"Recommended",NA,NA,"Recommended","highD"
"mung1112/01_2012_Gatton_Crystal_0.75_lowDose","mung1112/01",2012,"Crystal","Gatton",0.75,3,2012-02-20,2012-04-02,"tebuconazole",2012-04-02,2012-04-16,NA,2,62.35,0.948,NA,0.21,0.284552845528455,3.3,0.95,NA,NA,59.8,NA,119.6,NA,"lowDose","0","14",NA,"Recommended","Recommended",NA,"Recommended_plus","highD"
"mung1112/01_2012_Gatton_Crystal_0.75_lowDose","mung1112/01",2012,"Crystal","Gatton",0.75,3,2012-02-20,2012-04-02,"propiconazole",2012-04-02,NA,NA,1,62.5,0.91,NA,0.172,0.233062330623306,6.3,0.95,NA,NA,137.8,NA,275.6,NA,"lowDose","0",NA,NA,"Recommended",NA,NA,"Recommended","highD"
"mung1112/01_2012_Gatton_Crystal_0.75_lowDose","mung1112/01",2012,"Crystal","Gatton",0.75,3,2012-02-20,2012-04-02,"propiconazole",2012-04-02,2012-04-16,NA,2,62.5,0.925,NA,0.187,0.253387533875339,3.3,0.95,NA,NA,59.8,NA,119.6,NA,"lowDose","0","14",NA,"Recommended","Recommended",NA,"Recommended_plus","highD"
"mung1112/01_2012_Gatton_Crystal_0.75_highDose","mung1112/01",2012,"Crystal","Gatton",0.75,3,2012-02-20,2012-04-02,"propiconazole",2012-04-02,NA,NA,1,125,0.86,NA,0.122,0.165311653116531,5.3,0.95,NA,NA,111.8,NA,223.6,NA,"highDose","0",NA,NA,"Recommended",NA,NA,"Recommended","highD"
"mung1112/01_2012_Gatton_Crystal_0.75_highDose","mung1112/01",2012,"Crystal","Gatton",0.75,3,2012-02-20,2012-04-02,"propiconazole",2012-04-02,2012-04-16,NA,2,125,0.944,NA,0.206,0.279132791327913,2,0.95,NA,NA,26,NA,52,NA,"highDose","0","14",NA,"Recommended","Recommended",NA,"Recommended_plus","highD"
"mung1112/02_2012_Kingaroy_Crystal_0.75_lowDose","mung1112/02",2012,"Crystal","Kingaroy",0.75,3,2012-02-03,2012-03-12,"control",NA,NA,NA,0,0,0.751,0.0105069468148756,NA,NA,8,1.3,NA,NA,196,NA,392,NA,"lowDose","control","control","control","Late",NA,NA,"control","highD"
"mung1112/02_2012_Kingaroy_Crystal_0.75_lowDose","mung1112/02",2012,"Crystal","Kingaroy",0.75,3,2012-02-03,2012-03-12,"tebuconazole",2012-03-13,NA,NA,1,62.35,1.09,0.0105069468148756,0.339,0.451398135818908,8,1.3,NA,NA,196,NA,392,NA,"lowDose","1",NA,NA,"Recommended",NA,NA,"Recommended","highD"
"mung1112/02_2012_Kingaroy_Crystal_0.75_lowDose","mung1112/02",2012,"Crystal","Kingaroy",0.75,3,2012-02-03,2012-03-12,"tebuconazole",2012-03-13,2012-03-30,NA,2,62.35,1.098,0.0105069468148756,0.347,0.462050599201065,4.3,1.3,NA,NA,92.4,NA,184.8,NA,"lowDose","1","17",NA,"Recommended","Late",NA,"Recommended_plus","highD"
"mung1112/02_2012_Kingaroy_Crystal_0.75_lowDose","mung1112/02",2012,"Crystal","Kingaroy",0.75,3,2012-02-03,2012-03-12,"propiconazole",2012-03-13,NA,NA,1,62.5,1.036,0.0105069468148756,0.285,0.379494007989348,7.7,1.3,NA,NA,187.6,NA,375.2,NA,"lowDose","1",NA,NA,"Recommended",NA,NA,"Recommended","highD"
"mung1112/02_2012_Kingaroy_Crystal_0.75_lowDose","mung1112/02",2012,"Crystal","Kingaroy",0.75,3,2012-02-03,2012-03-12,"propiconazole",2012-03-13,2012-03-30,NA,2,62.5,1.201,0.0105069468148756,0.45,0.599201065246338,4.7,1.3,NA,NA,103.6,NA,207.2,NA,"lowDose","1","17",NA,"Recommended","Late",NA,"Recommended_plus","highD"
"mung1112/02_2012_Kingaroy_Crystal_0.75_highDose","mung1112/02",2012,"Crystal","Kingaroy",0.75,3,2012-02-03,2012-03-12,"propiconazole",2012-03-13,NA,NA,1,125,1.057,0.0105069468148756,0.306,0.40745672436751,7.3,1.3,NA,NA,176.4,NA,352.8,NA,"highDose","1",NA,NA,"Recommended",NA,NA,"Recommended","highD"
"mung1112/02_2012_Kingaroy_Crystal_0.75_highDose","mung1112/02",2012,"Crystal","Kingaroy",0.75,3,2012-02-03,2012-03-12,"propiconazole",2012-03-13,2012-03-30,NA,2,125,1.323,0.0105069468148756,0.572,0.761651131824234,1.7,1.3,NA,NA,19.6,NA,39.2,NA,"highDose","1","17",NA,"Recommended","Late",NA,"Recommended_plus","highD"
"AM1303_2013_Premer_Crystal_NA_lowDose","AM1303",2013,"Crystal","Premer",0.33,3,2012-12-28,2013-02-28,"control",NA,NA,NA,0,0,1.421568627,0.00507283524189792,NA,NA,8,0,0.00981471246813906,417.180555555555,24.5,0,49,0,"lowDose","control","control","control","Late",NA,NA,"control","lowD"
