"","location_name","latitude","longitude","station_file"
"1","Hermitage",-28.215,152.1003,"cache/weather/WARWICK_041525.csv"
"2","Hermitage",-28.215,152.1003,"cache/weather/WARWICK_041525.csv"
"3","Hermitage",-28.215,152.1003,"cache/weather/WARWICK_041525.csv"
"4","Hermitage",-28.215,152.1003,"cache/weather/WARWICK_041525.csv"
"5","Kingaroy",-26.58,151.83,"cache/weather/KINGAROY AIRPORT_040922.csv"
"6","Kingaroy",-26.58,151.83,"cache/weather/KINGAROY AIRPORT_040922.csv"
"7","Kingaroy",-26.58,151.83,"cache/weather/KINGAROY AIRPORT_040922.csv"
"8","Kingaroy",-26.58,151.83,"cache/weather/KINGAROY AIRPORT_040922.csv"
"9","Kingaroy",-26.58,151.83,"cache/weather/KINGAROY AIRPORT_040922.csv"
"10","Kingaroy",-26.58,151.83,"cache/weather/KINGAROY AIRPORT_040922.csv"
"11","Goolhi",-31,149.755,"cache/weather/GUNNEDAH AIRPORT AWS_055202.csv"
"12","Goolhi",-31,149.755,"cache/weather/GUNNEDAH AIRPORT AWS_055202.csv"
"13","Goolhi",-31,149.755,"cache/weather/GUNNEDAH AIRPORT AWS_055202.csv"
"14","Goolhi",-31,149.755,"cache/weather/GUNNEDAH AIRPORT AWS_055202.csv"
"15","Marys Mount",-31.0245,150.0618,"cache/weather/GUNNEDAH AIRPORT AWS_055202.csv"
"16","Marys Mount",-31.0245,150.0618,"cache/weather/GUNNEDAH AIRPORT AWS_055202.csv"
"17","Premer",-31.4514,149.9,"cache/weather/GUNNEDAH RESOURCE CENTRE_055024.csv"
"18","Premer",-31.4514,149.9,"cache/weather/GUNNEDAH RESOURCE CENTRE_055024.csv"
"19","Premer",-31.4514,149.9,"cache/weather/GUNNEDAH RESOURCE CENTRE_055024.csv"
"20","Premer",-31.4514,149.9,"cache/weather/GUNNEDAH RESOURCE CENTRE_055024.csv"
"21","Millmerran",-27.87653,151.2567,"cache/weather/OAKEY AERO_041359.csv"
"22","Millmerran",-27.87653,151.2567,"cache/weather/OAKEY AERO_041359.csv"
"23","Millmerran",-27.87653,151.2567,"cache/weather/OAKEY AERO_041359.csv"
"24","Millmerran",-27.87653,151.2567,"cache/weather/OAKEY AERO_041359.csv"
"25","Hermitage",-28.215,152.1003,"cache/weather/WARWICK_041525.csv"
"26","Hermitage",-28.215,152.1003,"cache/weather/WARWICK_041525.csv"
"27","Hermitage",-28.215,152.1003,"cache/weather/WARWICK_041525.csv"
"28","Hermitage",-28.215,152.1003,"cache/weather/WARWICK_041525.csv"
"29","Hermitage",-28.215,152.1003,"cache/weather/WARWICK_041525.csv"
"30","Hermitage",-28.215,152.1003,"cache/weather/WARWICK_041525.csv"
"31","Hermitage",-28.215,152.1003,"cache/weather/WARWICK_041525.csv"
"32","Kingaroy",-26.58,151.83,"cache/weather/KINGAROY AIRPORT_040922.csv"
"33","Kingaroy",-26.58,151.83,"cache/weather/KINGAROY AIRPORT_040922.csv"
"34","Kingaroy",-26.58,151.83,"cache/weather/KINGAROY AIRPORT_040922.csv"
"35","Kingaroy",-26.58,151.83,"cache/weather/KINGAROY AIRPORT_040922.csv"
"36","Kingaroy",-26.58,151.83,"cache/weather/KINGAROY AIRPORT_040922.csv"
"37","Kingaroy",-26.58,151.83,"cache/weather/KINGAROY AIRPORT_040922.csv"
"38","Kingaroy",-26.58,151.83,"cache/weather/KINGAROY AIRPORT_040922.csv"
"39","Missen Flats",-27.905313,151.9772,"cache/weather/WARWICK_041525.csv"
"40","Missen Flats",-27.905313,151.9772,"cache/weather/WARWICK_041525.csv"
"41","Missen Flats",-27.905313,151.9772,"cache/weather/WARWICK_041525.csv"
"42","Missen Flats",-27.905313,151.9772,"cache/weather/WARWICK_041525.csv"
"43","Missen Flats",-27.905313,151.9772,"cache/weather/WARWICK_041525.csv"
"44","Missen Flats",-27.905313,151.9772,"cache/weather/WARWICK_041525.csv"
"45","Missen Flats",-27.905313,151.9772,"cache/weather/WARWICK_041525.csv"
"46","Missen Flats",-27.905313,151.9772,"cache/weather/WARWICK_041525.csv"
"47","Missen Flats",-27.905313,151.9772,"cache/weather/WARWICK_041525.csv"
