"","X","trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd"
"1",1,"mung0001/01","2001","Bongeen_1","Emerald","RB",NA,NA,"",1,5,2001-02-11,NA,NA,NA,NA,2001-03-16,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2001-05-09,2001-04-04,3.4,"""""1-9""""",0.54,"lsd (P=0.05)",0.506,"",NA,0.00125442347044544,"SamplingVariance",NA,NA,"No","",87,31.2,NA
"2",2,"mung0001/01","2001","Bongeen_1","Emerald","RB",NA,NA,"",1,5,2001-02-11,NA,NA,NA,NA,2001-03-16,"Headland(SC)","sulphur",2400,2,2001-03-16,NA,NA,NA,NA,NA,NA,1,2001-05-09,2001-04-04,2.5,"""""1-9""""",0.54,"lsd (P=0.05)",0.594,"",NA,0.00125442347044544,"SamplingVariance",0.088,0.173913043478261,"No","",87,19.5,NA
"3",3,"mung0001/01","2001","Bongeen_1","Emerald","RB",NA,NA,"",1,5,2001-02-11,NA,NA,NA,NA,2001-03-16,"Headland(SC)","sulphur",2400,3,2001-03-16,2001-03-26,NA,NA,NA,NA,NA,2,2001-05-09,2001-04-04,1.3,"""""1-9""""",0.54,"lsd (P=0.05)",0.637,"",NA,0.00125442347044544,"SamplingVariance",0.131,0.258893280632411,"No","",87,3.9,NA
"4",4,"mung0001/01","2001","Bongeen_1","Emerald","RB",NA,NA,"",1,5,2001-02-11,NA,NA,NA,NA,2001-03-16,"Bion","Acibenzolar-S-methyl",2.5,4,2001-03-16,2001-03-26,NA,NA,NA,NA,NA,2,2001-05-09,2001-04-04,3.9,"""""1-9""""",0.54,"lsd (P=0.05)",0.498,"",NA,0.00125442347044544,"SamplingVariance",-0.00800000000000001,-0.0158102766798419,"No","",87,37.7,NA
"5",5,"mung0001/01","2001","Bongeen_1","Emerald","RB",NA,NA,"",1,5,2001-02-11,NA,NA,NA,NA,2001-03-16,"Afugan","pyrazophos",500,5,2001-03-16,2001-03-26,NA,NA,NA,NA,NA,2,2001-05-09,2001-04-04,2.9,"""""1-9""""",0.54,"lsd (P=0.05)",0.531,"",NA,0.00125442347044544,"SamplingVariance",0.025,0.049407114624506,"No","",87,24.7,NA
"6",6,"mung0001/01","2001","Bongeen_1","Emerald","RB",NA,NA,"",1,5,2001-02-11,NA,NA,NA,NA,2001-03-16,"Bavistin","carbendazim",250,6,2001-03-16,2001-03-26,NA,NA,NA,NA,NA,2,2001-05-09,2001-04-04,2.2,"""""1-9""""",0.54,"lsd (P=0.05)",0.588,"",NA,0.00125442347044544,"SamplingVariance",0.082,0.162055335968379,"No","",87,15.6,NA
"7",7,"mung0001/01","2001","Bongeen_1","Emerald","RB",NA,NA,"",1,5,2001-02-11,NA,NA,NA,NA,2001-03-16,"Benlate","benomyl",250,7,2001-03-16,2001-03-26,NA,NA,NA,NA,NA,2,2001-05-09,2001-04-04,1.9,"""""1-9""""",0.54,"lsd (P=0.05)",0.7,"",NA,0.00125442347044544,"SamplingVariance",0.194,0.383399209486166,"No","",87,11.7,NA
"8",8,"mung0102/01","2002","Bongeen_2","Emerald","RB",NA,NA,"",1,3,NA,NA,NA,NA,NA,2002-02-07,"Headland(SC)","sulphur (SC)",2400,1,2002-02-07,2002-02-19,NA,NA,NA,NA,NA,2,2002-03-18,2002-04-17,NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","First fungicide application had 22mm of rain 5 hours after",37294,NA,NA
"9",9,"mung0102/01","2002","Bongeen_2","Emerald","RB",NA,NA,"",1,3,NA,NA,NA,NA,NA,2002-02-07,"Headland(SC) + Chemwet (adj)","sulphur (SC)",2400,2,2002-02-07,2002-02-19,NA,NA,NA,NA,NA,2,2002-03-18,2002-04-17,NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","First fungicide application had 22mm of rain 5 hours after",37333,NA,NA
"10",10,"mung0102/01","2002","Bongeen_2","Emerald","RB",NA,NA,"",1,3,NA,NA,NA,NA,NA,2002-02-07,"Headland(SC) + Guard (adj)","sulphur (SC)",2400,3,2002-02-07,2002-02-19,NA,NA,NA,NA,NA,2,2002-03-18,2002-04-17,NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","First fungicide application had 22mm of rain 5 hours after",37333,NA,NA
