"trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","Inc_Ms"
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,13,2011-03-23,NA,NA,NA,NA,NA,NA,1,NA,2011-05-11,1.66666666666667,"1-9",0.577350269189626,"stdev",0.8621,NA,0.05400643395,0.117303859591234,"stdev",NA,NA,NA,NA,NA,12.8333333333333,14.1450815951458,21,21,15945.1770833333
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,16,2011-03-23,2011-04-13,NA,NA,NA,NA,NA,2,NA,2011-05-11,1.66666666666667,"1-9",0.577350269189626,"stdev",0.8658,NA,0.05400643395,0.191049832308223,"stdev",NA,NA,NA,NA,NA,30.6666666666667,26.5581123827228,37.3333333333333,32.331615074619,15945.1770833333
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,19,2011-03-09,2011-03-30,2011-04-12,NA,NA,NA,NA,3,NA,2011-05-11,1,"1-9",0,"stdev",0.900395,NA,0.05400643395,0.122504647666935,"stdev",NA,NA,NA,NA,NA,0,0,0,0,15945.1770833333
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"control","control",0,11,NA,NA,NA,NA,NA,NA,NA,0,NA,2011-05-11,8,"1-9",0,"stdev",0.79846,NA,0.05400643395,0.151042955148527,"stdev",NA,NA,NA,NA,NA,208.666666666667,10.1036297108185,294,12.1243556529821,15945.1770833333
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Kendon","sulphur",3000,12,2011-03-23,NA,NA,NA,NA,NA,NA,1,NA,2011-05-11,5.66666666666667,"1-9",0.577350269189626,"stdev",0.79624,NA,0.05400643395,0.209443450542145,"stdev",NA,NA,NA,NA,NA,102,6.06217782649107,154,12.1243556529821,15945.1770833333
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Kendon","sulphur",3000,15,2011-03-23,2011-04-13,NA,NA,NA,NA,NA,2,NA,2011-05-11,3.33333333333333,"1-9",0.577350269189626,"stdev",0.868945,NA,0.05400643395,0.110523527359563,"stdev",NA,NA,NA,NA,NA,54,14.4135353053996,79.3333333333333,17.6162803489651,15945.1770833333
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Kendon","sulphur",3000,18,2011-03-09,2011-03-30,2011-04-12,NA,NA,NA,NA,3,NA,2011-05-11,3.33333333333333,"1-9",0.577350269189626,"stdev",0.88356,NA,0.05400643395,0.133374479474148,"stdev",NA,NA,NA,NA,NA,30.3333333333333,16.1658075373095,56,24.2487113059643,15945.1770833333
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Folicur","tebuconazole",62.35,14,2011-03-23,NA,NA,NA,NA,NA,NA,1,NA,2011-05-11,5.33333333333333,"1-9",1.15470053837925,"stdev",1.05857,NA,0.05400643395,0.0824438131396165,"stdev",NA,NA,NA,NA,NA,98.6666666666667,9.35859676091097,144.666666666667,14.5716619962629,15945.1770833333
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Folicur","tebuconazole",62.35,17,2011-03-23,2011-04-13,NA,NA,NA,NA,NA,2,NA,2011-05-11,3.33333333333333,"1-9",0.577350269189626,"stdev",0.986235,NA,0.05400643395,0.146495821868748,"stdev",NA,NA,NA,NA,NA,60,6.06217782649107,84,12.1243556529821,15945.1770833333
"mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Folicur","tebuconazole",62.35,20,2011-03-09,2011-03-30,2011-04-12,NA,NA,NA,NA,3,NA,2011-05-11,3.66666666666667,"1-9",0.577350269189626,"stdev",0.86358,NA,0.05400643395,0.0903679080204915,"stdev",NA,NA,NA,NA,NA,28,6.06217782649107,56,12.1243556529821,15945.1770833333
"mung1011/02","2011","Kingaroy","Crystal","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,3,2011-03-23,NA,NA,NA,NA,NA,NA,1,NA,2011-05-11,2,"1-9",0,"stdev",0.77182,NA,0.05400643395,0.135102702045518,"stdev",NA,NA,NA,NA,NA,22.3333333333333,20.4959345562317,32.6666666666667,20.2072594216369,15945.1770833333
"mung1011/02","2011","Kingaroy","Crystal","RCB",11,4,NA,0.75,3,2011-02-02,NA,NA,NA,NA,2011-03-22,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,6,2011-03-23,2011-04-13,NA,NA,NA,NA,NA,2,NA,2011-05-11,1,"1-9",0,"stdev",0.691345,NA,0.05400643395,0.0203567261611488,"stdev",NA,NA,NA,NA,NA,0,0,0,0,15945.1770833333
