Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1961","1961","ha","809","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1961","1961","hg/ha","5525","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1961","1961","tonnes","447","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1962","1962","ha","809","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1962","1962","hg/ha","11001","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1962","1962","tonnes","890","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1963","1963","ha","2023","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1963","1963","hg/ha","5151","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1963","1963","tonnes","1042","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1964","1964","ha","1214","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1964","1964","hg/ha","5939","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1964","1964","tonnes","721","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1965","1965","ha","1214","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1965","1965","hg/ha","2026","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1965","1965","tonnes","246","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1966","1966","ha","2023","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1966","1966","hg/ha","4686","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1966","1966","tonnes","948","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1967","1967","ha","2428","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1967","1967","hg/ha","6046","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1967","1967","tonnes","1468","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1968","1968","ha","4053","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1968","1968","hg/ha","2087","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1968","1968","tonnes","846","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1969","1969","ha","5266","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1969","1969","hg/ha","4806","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1969","1969","tonnes","2531","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1970","1970","ha","4644","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1970","1970","hg/ha","2414","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1970","1970","tonnes","1121","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1971","1971","ha","8412","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1971","1971","hg/ha","7732","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1971","1971","tonnes","6504","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1972","1972","ha","9516","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1972","1972","hg/ha","1891","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1972","1972","tonnes","1799","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1973","1973","ha","4523","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1973","1973","hg/ha","5614","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1973","1973","tonnes","2539","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1974","1974","ha","3230","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1974","1974","hg/ha","8759","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1974","1974","tonnes","2829","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1975","1975","ha","7592","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1975","1975","hg/ha","7987","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1975","1975","tonnes","6064","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1976","1976","ha","8224","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1976","1976","hg/ha","7219","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1976","1976","tonnes","5937","","Official data",""
