latitude,longitude,date,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source
-23.55,148.20000000000002,2011-01-01,0.0,24,32.0,25,19.8,25
-23.55,148.20000000000002,2011-01-02,0.0,24,32.6,25,22.6,25
-23.55,148.20000000000002,2011-01-03,0.0,24,33.1,25,21.6,25
-23.55,148.20000000000002,2011-01-04,0.0,24,34.2,25,22.3,25
-23.55,148.20000000000002,2011-01-05,0.2,24,31.3,25,21.9,25
-23.55,148.20000000000002,2011-01-06,14.4,24,31.3,25,21.5,25
-23.55,148.20000000000002,2011-01-07,0.5,24,30.3,25,18.7,25
-23.55,148.20000000000002,2011-01-08,0.5,24,31.2,25,19.2,25
-23.55,148.20000000000002,2011-01-09,0.0,24,31.9,25,20.9,25
-23.55,148.20000000000002,2011-01-10,0.0,24,31.7,25,21.3,25
-23.55,148.20000000000002,2011-01-11,0.0,24,32.6,25,22.0,25
-23.55,148.20000000000002,2011-01-12,0.0,24,33.9,25,22.4,25
-23.55,148.20000000000002,2011-01-13,0.2,24,31.9,25,24.0,25
-23.55,148.20000000000002,2011-01-14,0.0,24,32.2,25,20.8,25
-23.55,148.20000000000002,2011-01-15,0.0,24,32.9,25,20.3,25
-23.55,148.20000000000002,2011-01-16,0.0,24,33.1,25,21.0,25
-23.55,148.20000000000002,2011-01-17,0.0,24,33.6,25,20.6,25
-23.55,148.20000000000002,2011-01-18,5.1,24,30.7,25,23.1,25
-23.55,148.20000000000002,2011-01-19,9.0,24,33.8,25,22.7,25
-23.55,148.20000000000002,2011-01-20,19.3,24,33.5,25,23.0,25
-23.55,148.20000000000002,2011-01-21,0.1,24,32.8,25,21.5,25
-23.55,148.20000000000002,2011-01-22,0.0,24,31.8,25,20.7,25
-23.55,148.20000000000002,2011-01-23,0.0,24,31.7,25,18.6,25
-23.55,148.20000000000002,2011-01-24,0.0,24,33.0,25,18.1,25
-23.55,148.20000000000002,2011-01-25,0.0,24,34.6,25,19.4,25
-23.55,148.20000000000002,2011-01-26,0.0,24,36.3,25,21.9,25
-23.55,148.20000000000002,2011-01-27,0.0,24,35.1,25,20.7,25
-23.55,148.20000000000002,2011-01-28,0.0,24,36.7,25,20.8,25
-23.55,148.20000000000002,2011-01-29,0.0,24,32.8,25,21.8,25
-23.55,148.20000000000002,2011-01-30,0.0,24,32.7,25,21.4,25
-23.55,148.20000000000002,2011-01-31,2.6,24,33.6,25,22.9,25
-23.55,148.20000000000002,2011-02-01,0.5,24,34.2,25,23.9,25
-23.55,148.20000000000002,2011-02-02,0.4,24,34.0,25,23.2,25
-23.55,148.20000000000002,2011-02-03,1.0,24,32.1,25,25.1,25
-23.55,148.20000000000002,2011-02-04,0.8,24,34.2,25,23.0,25
-23.55,148.20000000000002,2011-02-05,0.0,24,33.2,25,21.7,25
-23.55,148.20000000000002,2011-02-06,22.8,24,33.4,25,22.9,25
-23.55,148.20000000000002,2011-02-07,0.1,24,34.8,25,22.5,25
-23.55,148.20000000000002,2011-02-08,0.0,24,34.3,25,23.6,25
-23.55,148.20000000000002,2011-02-09,1.8,24,32.3,25,21.7,25
-23.55,148.20000000000002,2011-02-10,0.2,24,30.4,25,20.8,25
-23.55,148.20000000000002,2011-02-11,0.0,24,32.8,25,20.4,25
-23.55,148.20000000000002,2011-02-12,0.0,24,33.6,25,19.3,25
-23.55,148.20000000000002,2011-02-13,0.0,24,33.5,25,20.6,25
-23.55,148.20000000000002,2011-02-14,0.0,24,34.3,25,21.1,25
-23.55,148.20000000000002,2011-02-15,1.2,24,32.4,25,21.4,25
-23.55,148.20000000000002,2011-02-16,1.5,24,33.1,25,20.1,25
-23.55,148.20000000000002,2011-02-17,0.0,24,34.6,25,20.6,25
-23.55,148.20000000000002,2011-02-18,0.0,24,34.8,25,21.6,25
-23.55,148.20000000000002,2011-02-19,0.0,24,34.4,25,22.2,25
-23.55,148.20000000000002,2011-02-20,1.0,24,34.6,25,23.2,25
-23.55,148.20000000000002,2011-02-21,0.0,24,36.5,25,22.8,25
-23.55,148.20000000000002,2011-02-22,1.0,24,34.3,25,22.4,25
-23.55,148.20000000000002,2011-02-23,0.1,24,32.7,25,21.8,25
-23.55,148.20000000000002,2011-02-24,0.7,24,32.1,25,18.5,25
-23.55,148.20000000000002,2011-02-25,0.0,24,32.6,25,18.1,25
-23.55,148.20000000000002,2011-02-26,0.0,24,33.1,25,18.6,25
-23.55,148.20000000000002,2011-02-27,0.0,24,34.5,25,18.6,25
-23.55,148.20000000000002,2011-02-28,0.0,24,33.4,25,19.2,25
-23.55,148.20000000000002,2011-03-01,0.0,24,34.2,25,19.3,25
-23.55,148.20000000000002,2011-03-02,2.3,24,33.5,25,22.6,25
-23.55,148.20000000000002,2011-03-03,15.1,24,30.7,25,22.4,25
-23.55,148.20000000000002,2011-03-04,10.8,24,33.3,25,23.1,25
-23.55,148.20000000000002,2011-03-05,1.7,24,32.5,25,23.4,25
-23.55,148.20000000000002,2011-03-06,27.0,24,25.8,25,20.5,25
-23.55,148.20000000000002,2011-03-07,0.7,24,30.1,25,19.4,25
-23.55,148.20000000000002,2011-03-08,0.0,24,30.6,25,17.1,25
-23.55,148.20000000000002,2011-03-09,0.0,24,30.7,25,17.9,25
-23.55,148.20000000000002,2011-03-10,0.0,24,30.7,25,17.8,25
-23.55,148.20000000000002,2011-03-11,0.0,24,29.8,25,18.6,25
-23.55,148.20000000000002,2011-03-12,0.0,24,27.4,25,21.2,25
-23.55,148.20000000000002,2011-03-13,4.5,24,28.9,25,20.6,25
-23.55,148.20000000000002,2011-03-14,0.1,24,30.2,25,21.0,25
-23.55,148.20000000000002,2011-03-15,3.5,24,30.4,25,21.7,25
-23.55,148.20000000000002,2011-03-16,0.9,24,31.6,25,22.5,25
-23.55,148.20000000000002,2011-03-17,0.2,24,31.4,25,22.7,25
-23.55,148.20000000000002,2011-03-18,7.9,24,26.0,25,21.6,25
-23.55,148.20000000000002,2011-03-19,1.7,24,32.4,25,22.3,25
-23.55,148.20000000000002,2011-03-20,40.3,24,30.2,25,22.5,25
-23.55,148.20000000000002,2011-03-21,37.6,24,34.2,25,22.8,25
-23.55,148.20000000000002,2011-03-22,0.3,24,33.0,25,22.8,25
-23.55,148.20000000000002,2011-03-23,0.8,24,32.3,25,19.3,25
-23.55,148.20000000000002,2011-03-24,0.0,24,32.9,25,20.1,25
-23.55,148.20000000000002,2011-03-25,0.0,24,28.7,25,21.1,25
-23.55,148.20000000000002,2011-03-26,0.0,24,29.5,25,17.0,25
-23.55,148.20000000000002,2011-03-27,0.0,24,30.6,25,15.7,25
-23.55,148.20000000000002,2011-03-28,0.0,24,24.1,25,20.0,25
-23.55,148.20000000000002,2011-03-29,1.6,24,25.7,25,19.5,25
-23.55,148.20000000000002,2011-03-30,5.1,24,22.2,25,19.1,25
-23.55,148.20000000000002,2011-03-31,35.8,24,23.6,25,19.2,25
