"trial","trial_ref","year","location","row_spacing","n","first_sign_disease","fungicide_ai","fungicide_application_1","fungicide_application_2","fungicide_application_3","total_fungicide","grain_yield.t.ha","yield_error","yield_gain","prop_yield_gain","PM_final_severity","PM_final_severity_error","fungicide_timing_1","fungicide_timing_2","fungicide_timing_3","cluster_1","cluster_2","cluster_3","spray_management"
"mung1011/01_2011_Hermitage_Berken_0.75","mung1011/01",2011,"Hermitage",0.75,6,2011-03-28,"control",NA,NA,NA,0,1.6618554,0.117323327,NA,NA,4.666666667,0.516397779,"control","control","control","control","control","control","control"
"mung1011/01_2011_Hermitage_Berken_0.75","mung1011/01",2011,"Hermitage",0.75,3,2011-03-28,"tebuconazole",2011-03-28,NA,NA,1,1.7693124,0.194419561,0.2445887,0.160415096846727,2,0,"0",NA,NA,"Recommended",NA,NA,"Recommended"
"mung1011/01_2011_Hermitage_Crystal_0.75","mung1011/01",2011,"Hermitage",0.75,6,2011-03-28,"control",NA,NA,NA,0,1.387592,0.12446517,NA,NA,5,0,"control","control","control","control","control","control","control"
"mung1011/01_2011_Hermitage_Crystal_0.75","mung1011/01",2011,"Hermitage",0.75,3,2011-03-28,"tebuconazole",2011-03-28,NA,NA,1,1.543895467,0.128326022,0.019171767,0.0125739286403169,2.333333333,0.577350269,"0",NA,NA,"Recommended",NA,NA,"Recommended"
"mung1011/02_2011_Kingaroy_Berken_0.75","mung1011/02",2011,"Kingaroy",0.75,3,2011-03-22,"control",NA,NA,NA,0,0.79846,0.151042955,NA,NA,8,0,"control","control","control","control","control","control","control"
"mung1011/02_2011_Kingaroy_Berken_0.75","mung1011/02",2011,"Kingaroy",0.75,3,2011-03-22,"tebuconazole",2011-03-23,NA,NA,1,1.05857,0.082443813,0.26011,0.325764596848934,5.333333333,1.154700538,"1",NA,NA,"Recommended",NA,NA,"Recommended"
"mung1011/02_2011_Kingaroy_Berken_0.75","mung1011/02",2011,"Kingaroy",0.75,3,2011-03-22,"tebuconazole",2011-03-23,2011-04-13,NA,2,0.986235,0.146495822,0.187775,0.235171455050973,3.333333333,0.577350269,"1","21",NA,"Recommended","Late",NA,"Recommended_plus"
"mung1011/02_2011_Kingaroy_Berken_0.75","mung1011/02",2011,"Kingaroy",0.75,3,2011-03-22,"tebuconazole",2011-03-09,2011-03-30,2011-04-13,3,0.86358,0.090367908,0.0651200000000001,0.0815569972196479,3.666666667,0.577350269,"-13","21","14","Early","Late","Recommended","Early_plus"
"mung1011/02_2011_Kingaroy_Crystal_0.75","mung1011/02",2011,"Kingaroy",0.75,3,2011-03-22,"control",NA,NA,NA,0,0.79846,0.165196506,NA,NA,7.666666667,0.577350269,"control","control","control","control","control","control","control"
"mung1011/02_2011_Kingaroy_Crystal_0.75","mung1011/02",2011,"Kingaroy",0.75,3,2011-03-22,"tebuconazole",2011-03-23,NA,NA,1,0.730195,0.186868041,-0.0682649999999999,-0.085495829471733,4.333333333,0.577350269,"1",NA,NA,"Recommended",NA,NA,"Recommended"
"mung1011/02_2011_Kingaroy_Crystal_0.75","mung1011/02",2011,"Kingaroy",0.75,3,2011-03-22,"tebuconazole",2011-03-23,2011-04-13,NA,2,0.87542,0.285158942,0.07696,0.0963855421686747,4,0,"1","21",NA,"Recommended","Late",NA,"Recommended_plus"
"mung1011/02_2011_Kingaroy_Crystal_0.75","mung1011/02",2011,"Kingaroy",0.75,3,2011-03-22,"tebuconazole",2011-03-09,2011-03-30,2011-04-13,3,0.64084,0.160856516,-0.15762,-0.19740500463392,3,0,"-13","21","14","Early","Late","Recommended","Early_plus"
"mung1112/01_2012_Gatton_Crystal_0.75","mung1112/01",2012,"Gatton",0.75,3,2012-04-02,"control",NA,NA,NA,0,0.738,NA,NA,NA,7.5,0.95,"control","control","control","control","control","control","control"
"mung1112/01_2012_Gatton_Crystal_0.75","mung1112/01",2012,"Gatton",0.75,3,2012-04-02,"tebuconazole",2012-04-02,NA,NA,1,0.81,NA,0.0720000000000001,0.0975609756097562,4.3,0.95,"0",NA,NA,"Recommended",NA,NA,"Recommended"
"mung1112/01_2012_Gatton_Crystal_0.75","mung1112/01",2012,"Gatton",0.75,3,2012-04-02,"tebuconazole",2012-04-02,2012-04-16,NA,2,0.948,NA,0.21,0.284552845528455,3.3,0.95,"0","14",NA,"Recommended","Recommended",NA,"Recommended_plus"
"mung1112/01_2012_Gatton_Crystal_0.75","mung1112/01",2012,"Gatton",0.75,3,2012-04-02,"propiconazole",2012-04-02,NA,NA,1,0.91,NA,0.172,0.233062330623306,6.3,0.95,"0",NA,NA,"Recommended",NA,NA,"Recommended"
"mung1112/01_2012_Gatton_Crystal_0.75","mung1112/01",2012,"Gatton",0.75,3,2012-04-02,"propiconazole",2012-04-02,2012-04-16,NA,2,0.925,NA,0.187,0.253387533875339,3.3,0.95,"0","14",NA,"Recommended","Recommended",NA,"Recommended_plus"
"mung1112/01_2012_Gatton_Crystal_0.75","mung1112/01",2012,"Gatton",0.75,3,2012-04-02,"propiconazole",2012-04-02,NA,NA,1,0.86,NA,0.122,0.165311653116531,5.3,0.95,"0",NA,NA,"Recommended",NA,NA,"Recommended"
"mung1112/01_2012_Gatton_Crystal_0.75","mung1112/01",2012,"Gatton",0.75,3,2012-04-02,"propiconazole",2012-04-02,2012-04-16,NA,2,0.944,NA,0.206,0.279132791327913,2,0.95,"0","14",NA,"Recommended","Recommended",NA,"Recommended_plus"
"mung1112/02_2012_Kingaroy_Crystal_0.75","mung1112/02",2012,"Kingaroy",0.75,3,2012-03-12,"control",NA,NA,NA,0,0.751,0.118281901724088,NA,NA,8,1.3,"control","control","control","control","control","control","control"
"mung1112/02_2012_Kingaroy_Crystal_0.75","mung1112/02",2012,"Kingaroy",0.75,3,2012-03-12,"tebuconazole",2012-03-13,NA,NA,1,1.09,0.098180449925595,0.339,0.451398135818908,8,1.3,"1",NA,NA,"Recommended",NA,NA,"Recommended"
"mung1112/02_2012_Kingaroy_Crystal_0.75","mung1112/02",2012,"Kingaroy",0.75,3,2012-03-12,"tebuconazole",2012-03-13,2012-03-30,NA,2,1.098,0.097822125920258,0.347,0.462050599201065,4.3,1.3,"1","17",NA,"Recommended","Late",NA,"Recommended_plus"
"mung1112/02_2012_Kingaroy_Crystal_0.75","mung1112/02",2012,"Kingaroy",0.75,3,2012-03-12,"propiconazole",2012-03-13,NA,NA,1,1.036,0.100706705610397,0.285,0.379494007989348,7.7,1.3,"1",NA,NA,"Recommended",NA,NA,"Recommended"
